TXNID,STARTTIME,ENDTIME,,,,STARTTIME,ENDTIME,SERVICE_NAME,,,,,
CBDT,13-07-20 04:52:16:066,13-07-20 04:52:16:292,,,,13-07-20 04:52:24:400,13-07-20 04:52:24:828,AdaptiveAuthenticationService,56gOcqwVDkYBawDUnzEAAAAn,,,,
,,,,,,13-07-20 04:52:18:686,13-07-20 04:52:19:259,MerchantDetailsApplicationServiceSpiService,51K6gqwVDkYBawDUnt8AAAAr,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GSTN,nonrsa,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LGF,27-06-20 12:19:28:949,27-06-20 12:19:30:095,,,,27-06-20 12:19:28:689,27-06-20 12:19:28:837,SMSService,OgmYBawVDkYA1gAO-dwAAAAc,,,,
GSTFT,27-06-20 12:19:27:025,27-06-20 12:19:28:566,,,,27-06-20 12:19:28:601,27-06-20 12:19:28:669,SMSService,OgmYBawVDkYA1gAO-dwAAAAc,,,,
FCMGST01,27-06-20 12:19:19:031,27-06-20 12:19:19:904,,,,27-06-20 12:19:27:939,27-06-20 12:19:28:509,UtilityCompanyPaymentApplicationServiceSpiService,OgmYBawVDkYA1gAO-dwAAAAc,,,,
LGNXT,27-06-20 12:19:12:751,27-06-20 12:19:14:751,,,,27-06-20 12:19:19:585,27-06-20 12:19:19:846,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,OY@fXKwVDkYA1gAO-dsAAAAc,,,,
VLC01,27-06-20 12:19:10:655,27-06-20 12:19:12:641,,,,27-06-20 12:19:14:433,27-06-20 12:19:14:678,PartyApplicationServiceSpi,OTAAJawVDkYA1gAO-dQAAAAZ,,,,
PLGSTN,27-06-20 12:18:57:714,27-06-20 12:18:58:509,,,,27-06-20 12:19:13:952,27-06-20 12:19:14:383,ValidatePINApplicationServiceSpiService,OTAAJawVDkYA1gAO-dQAAAAZ,,,,
GSTN,27-06-20 12:18:14:799,27-06-20 12:18:15:396,,,,27-06-20 12:19:13:375,27-06-20 12:19:13:811,GetUserReportApplicationServiceSpi,OTAAJawVDkYA1gAO-dQAAAAZ,,,,
,,,,,,27-06-20 12:19:12:559,27-06-20 12:19:12:608,SiteToUser,OQ-716wVDkYA1gAO-dMAAAAZ,,,,
,,,,,,27-06-20 12:19:11:126,27-06-20 12:19:12:542,AdaptiveAuthenticationService,OQ-716wVDkYA1gAO-dMAAAAZ,,,,
,,,,,,27-06-20 12:18:58:234,27-06-20 12:18:58:448,MerchantDetailsApplicationServiceSpiService,OEqAIqwVDkYA1gAO-c8AAAAd,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NSDL,RSA,,,,,,,,,,,,
,,,,,,,,,,,,,
LGF,21-07-20 11:10:22:685,21-07-20 11:10:22:850,,,,21-07-20 11:10:22:602,21-07-20 11:10:22:631,SMSService,Dwq71KwVDkYAagAG9EYAAABg,,,,
XTXFTNSDL,21-07-20 11:10:19:936,21-07-20 11:10:22:452,,,,21-07-20 11:10:22:500,21-07-20 11:10:22:555,SMSService,Dwq71KwVDkYAagAG9EYAAABg,,,,
XTXFTNSDL,21-07-20 11:10:08:163,21-07-20 11:10:10:002,,,,21-07-20 11:10:21:897,21-07-20 11:10:22:443,AdaptiveAuthenticationService,Dwq71KwVDkYAagAG9EYAAABg,,,,
FCMCBDT01,21-07-20 11:09:42:895,21-07-20 11:09:43:342,,,,21-07-20 11:10:21:012,21-07-20 11:10:21:873,FundTransferTransactionApplicationServiceSpi,Dwq71KwVDkYAagAG9EYAAABg,,,,
RSALGN,21-07-20 11:09:37:874,21-07-20 11:09:38:772,,,,21-07-20 11:10:20:085,21-07-20 11:10:20:876,AdaptiveAuthenticationService,Dwq71KwVDkYAagAG9EYAAABg,,,,
LGNXT,21-07-20 11:09:36:868,21-07-20 11:09:37:769,,,,21-07-20 11:10:09:158,21-07-20 11:10:09:954,AdaptiveAuthenticationService,DleLp6wVDkYAagAG9D0AAABg,,,,
VLC01,21-07-20 11:09:32:615,21-07-20 11:09:34:147,,,,21-07-20 11:10:08:297,21-07-20 11:10:09:132,AdaptiveAuthenticationService,DleLp6wVDkYAagAG9D0AAABg,,,,
PLCBDT,21-07-20 11:09:24:429,21-07-20 11:09:24:766,,,,21-07-20 11:09:43:041,21-07-20 11:09:43:291,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,DNX6sKwVDkYAagAG8@wAAABP,,,,
CBDT,21-07-20 11:09:22:383,21-07-20 11:09:22:445,,,,21-07-20 11:09:38:019,21-07-20 11:09:38:739,AdaptiveAuthenticationService,DIk5T6wVDkYAagAG89cAAABR,,,,
,,,,,,21-07-20 11:09:37:431,21-07-20 11:09:37:671,PartyApplicationServiceSpi,DHovi6wVDkYAagAG89IAAABR,,,,
,,,,,,21-07-20 11:09:37:236,21-07-20 11:09:37:379,ValidatePINApplicationServiceSpiService,DHovi6wVDkYAagAG89IAAABR,,,,
,,,,,,21-07-20 11:09:37:020,21-07-20 11:09:37:209,GetUserReportApplicationServiceSpi,DHovi6wVDkYAagAG89IAAABR,,,,
,,,,,,21-07-20 11:09:34:055,21-07-20 11:09:34:109,SiteToUser,DDlRZqwVDkYAagAG880AAABP,,,,
,,,,,,21-07-20 11:09:32:837,21-07-20 11:09:34:039,AdaptiveAuthenticationService,DDlRZqwVDkYAagAG880AAABP,,,,
,,,,,,21-07-20 11:09:24:485,21-07-20 11:09:24:697,MerchantDetailsApplicationServiceSpiService,C7xDi6wVDkYAagAG86cAAABR,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GSTN,RSA,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LGF,15-07-20 06:55:06:456,15-07-20 06:55:06:606,,,,15-07-20 06:55:06:063,15-07-20 06:55:06:198,SMSService,2f7X-KwVDkYA4gAuPdoAAAA0,,,,
XTXFTGST,15-07-20 06:55:03:667,15-07-20 06:55:05:822,,,,15-07-20 06:55:05:901,15-07-20 06:55:06:037,SMSService,2f7X-KwVDkYA4gAuPdoAAAA0,,,,
XTXFTGST,15-07-20 06:54:45:259,15-07-20 06:54:46:551,,,,15-07-20 06:55:05:419,15-07-20 06:55:05:808,AdaptiveAuthenticationService,2f7X-KwVDkYA4gAuPdoAAAA0,,,,
XTXFTGST,15-07-20 06:54:36:897,15-07-20 06:54:38:221,,,,15-07-20 06:55:04:517,15-07-20 06:55:05:372,UtilityCompanyPaymentApplicationServiceSpiService,2f7X-KwVDkYA4gAuPdoAAAA0,,,,
FCMGST01,15-07-20 06:54:31:078,15-07-20 06:54:31:450,,,,15-07-20 06:55:03:822,15-07-20 06:55:04:404,AdaptiveAuthenticationService,2f7X-KwVDkYA4gAuPdoAAAA0,,,,
RSALGN,15-07-20 06:54:25:963,15-07-20 06:54:26:729,,,,15-07-20 06:54:46:033,15-07-20 06:54:46:535,AdaptiveAuthenticationService,2OYDkKwVDkYA4gAuPboAAAA0,,,,
LGNXT,15-07-20 06:54:24:953,15-07-20 06:54:25:816,,,,15-07-20 06:54:45:419,15-07-20 06:54:45:996,AdaptiveAuthenticationService,2OYDkKwVDkYA4gAuPboAAAA0,,,,
VLC01,15-07-20 06:54:16:231,15-07-20 06:54:17:093,,,,15-07-20 06:54:37:659,15-07-20 06:54:38:191,AdaptiveAuthenticationService,2GZ3fKwVDkYA4gAuPbUAAAA0,,,,
PLGSTN,15-07-20 06:54:15:821,15-07-20 06:54:16:079,,,,15-07-20 06:54:37:020,15-07-20 06:54:37:639,AdaptiveAuthenticationService,2GZ3fKwVDkYA4gAuPbUAAAA0,,,,
,,,,,,15-07-20 06:54:31:203,15-07-20 06:54:31:406,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,2A2r3KwVDkYA4gAuPa8AAABF,,,,
,,,,,,15-07-20 06:54:26:114,15-07-20 06:54:26:690,AdaptiveAuthenticationService,17@iXqwVDkYA4gAuPZ0AAAA6,,,,
,,,,,,15-07-20 06:54:25:524,15-07-20 06:54:25:755,PartyApplicationServiceSpi,17Bj2qwVDkYA4gAuPZcAAABK,,,,
,,,,,,15-07-20 06:54:25:281,15-07-20 06:54:25:408,ValidatePINApplicationServiceSpiService,17Bj2qwVDkYA4gAuPZcAAABK,,,,
,,,,,,15-07-20 06:54:25:134,15-07-20 06:54:25:257,GetUserReportApplicationServiceSpi,17Bj2qwVDkYA4gAuPZcAAABK,,,,
,,,,,,15-07-20 06:54:17:015,15-07-20 06:54:17:049,SiteToUser,1ytR9KwVDkYA4gAuPYUAAABF,,,,
,,,,,,15-07-20 06:54:16:601,15-07-20 06:54:17:002,AdaptiveAuthenticationService,1ytR9KwVDkYA4gAuPYUAAABF,,,,
,,,,,,15-07-20 06:54:15:890,15-07-20 06:54:16:058,MerchantDetailsApplicationServiceSpiService,1yTheKwVDkYA4gAuPYQAAABF,,,,
